name,value,unit,status,recorded_at
tokenizer_vocab_size,6400,count,pass,2026-08-23T13:40:24Z
dataset_files_verified,6,count,pass,2026-08-23T13:40:24Z
invalid_json_lines,0,count,pass,2026-08-23T13:40:24Z
pretrain_rows,1270238,count,pass,2026-08-23T13:40:24Z
sft_rows,905718,count,pass,2026-08-23T13:40:24Z
pretrain_truncated_ratio_768,0.042,ratio,observed,2026-08-23T13:40:24Z
sft_truncated_ratio_768,0.0655,ratio,observed,2026-08-23T13:40:24Z
dpo_truncated_ratio_768,0.1575,ratio,observed,2026-08-23T13:40:24Z
agent_rl_truncated_ratio_768,0.293,ratio,observed,2026-08-23T13:40:24Z
compression_chinese,1.389128,chars_per_token,observed,2026-08-23T13:40:24Z
compression_english,2.89761,chars_per_token,observed,2026-08-23T13:40:24Z
compression_code,1.922457,chars_per_token,observed,2026-08-23T13:40:24Z
compression_math,1.568553,chars_per_token,observed,2026-08-23T13:40:24Z
compression_news,1.432097,chars_per_token,observed,2026-08-23T13:40:24Z
compression_domain,1.627209,chars_per_token,observed,2026-08-23T13:40:24Z
sft_fixture_valid_labels,33,count,pass,2026-08-23T13:40:24Z
sft_fixture_ignored_labels,95,count,pass,2026-08-23T13:40:24Z
