name,value,unit,status,recorded_at
dataset_lines,8468827,rows,ready,2026-08-24T00:00:00Z
model_parameters,63912192,parameters,ready,2026-08-24T00:00:00Z
global_sequence_batch,256,sequences_per_optimizer_step,ready,2026-08-24T00:00:00Z
max_token_slots_per_optimizer_step,196608,token_slots_per_optimizer_step,ready,2026-08-24T00:00:00Z
expected_micro_steps,264651,micro_steps,estimated,2026-08-24T00:00:00Z
expected_optimizer_updates,33082,updates,estimated,2026-08-24T00:00:00Z
early_loss_step_10,8.5419,loss,observed,2026-08-24T12:06:00Z
early_loss_step_100,7.3531,loss,observed,2026-08-24T12:06:00Z
early_loss_step_180,6.9985,loss,observed,2026-08-24T12:06:00Z
completed_micro_steps,264651,micro_steps,observed,2026-08-24T16:50:32Z
final_training_loss,1.8701,loss,observed,2026-08-24T16:50:32Z
mean_training_loss_last_100_logs,1.715661,loss,observed,2026-08-24T16:50:32Z
mean_training_loss_last_1000_logs,1.7213341,loss,observed,2026-08-24T16:50:32Z
wall_clock,285.783849,minutes,observed,2026-08-24T16:50:32Z
train_gpu_hours,38.104513,GPU-hours,observed,2026-08-24T16:50:32Z
mean_gpu_util_active,98.700783,percent,observed,2026-08-24T16:50:32Z
peak_gpu_memory,3750,MiB_per_gpu,observed,2026-08-24T16:50:32Z
mean_power_active,175.321226,W_per_gpu,observed,2026-08-24T16:50:32Z
peak_power,199.34,W_per_gpu,observed,2026-08-24T16:50:32Z
token_slot_throughput_upper_bound,379311.322,token_slots_per_second,observed_with_padding,2026-08-24T16:50:32Z
checkpoint_size,137684380,bytes,observed,2026-08-24T16:50:32Z
ceval_valid_acc_norm,23.0312,percent,observed,2026-08-25T03:53:52Z
cmmlu_acc_norm,25.1252,percent,observed,2026-08-25T03:53:52Z
arc_easy_acc_norm,28.9141,percent,observed,2026-08-25T03:53:52Z
piqa_acc_norm,51.4690,percent,observed,2026-08-25T03:53:52Z
openbookqa_acc_norm,26.6000,percent,observed,2026-08-25T03:53:52Z
hellaswag_acc_norm,28.4007,percent,observed,2026-08-25T03:53:52Z
social_iqa_acc,32.8045,percent,observed,2026-08-25T03:53:52Z
official_seven_task_macro_average,30.9064,percent,observed,2026-08-25T03:53:52Z
macro_delta_vs_p01,-0.5385,percentage_points,observed,2026-08-25T03:53:52Z
