metric,value,unit,source
optimizer_steps,9038,steps,training_metrics
final_train_loss,2.599737665414237,nll,training_metrics
last_100_logged_train_loss_mean,2.608002,nll,system-p03.json
final_validation_nll,2.604323646843452,nll,validation-p03-exact.json
final_validation_ppl,13.522076510058342,ppl,validation-p03-exact.json
validation_rows,11525,rows,validation-p03-exact.json
validation_target_tokens,6400000,tokens,validation-p03-exact.json
seven_task_macro,31.52278592049848,percent,official-seven-p03.json
greedy_nonempty,4,count,continuations-p03-5.jsonl
greedy_immediate_eos,0,count,continuations-p03-5.jsonl
launcher_wall,2787.122793449,seconds,exit-status.json
active_training,2613.1676850068616,seconds,training_metrics
training_loop_wall,2750.287130732031,seconds,training_metrics
train_gpu_hours,6.193606207664444,gpu_hours,derived_launcher_wall_x_8
active_padded_throughput,679925.2853899173,token_slots_per_second,training_metrics
training_loop_padded_throughput,646026.6508708451,token_slots_per_second,training_metrics
mean_gpu_util_active,99.63864778437643,percent,system-p03.json
median_gpu_util_active,100.0,percent,system-p03.json
peak_memory_per_gpu,16676,mib,system-p03.json
generation_median,248.7336957447292,tokens_per_second,latency-p03-warmup5-measure20.json
ttft_median,4.810557496966794,milliseconds,latency-p03-warmup5-measure20.json
