metric,value
result/mbpp_pass_at_1_percent,0.4
result/mbpp_pass_count,2
result/mbpp_test_count,500
result/official_seven_percent/ceval-valid,23.25408618127786
result/official_seven_percent/cmmlu,25.246071490243484
result/official_seven_percent/arc_easy,34.34343434343434
result/official_seven_percent/piqa,56.14798694232862
result/official_seven_percent/openbookqa,28.000000000000004
result/official_seven_percent/hellaswag,28.20155347540331
result/official_seven_percent/social_iqa,35.823950870010236
result/official_macro_percent,33.002440471813976
result/ifeval_percent/prompt_level_strict_acc,17.375231053604438
result/ifeval_percent/inst_level_strict_acc,29.97601918465228
result/ifeval_percent/prompt_level_loose_acc,19.77818853974122
result/ifeval_percent/inst_level_loose_acc,32.97362110311751
result/behavior/seed,42
result/behavior/decoding/max_new_tokens,192
result/behavior/chat/cases,10
result/behavior/chat/success_count,8
result/behavior/chat/success_rate,0.8
result/behavior/chat/format_cases,6
result/behavior/chat/format_success_count,5
result/behavior/chat/format_success_rate,0.8333333333333334
result/behavior/chat/refusal_anomaly_count,0
result/behavior/chat/repetition_anomaly_count,1
result/behavior/tool/cases,8
result/behavior/tool/tool_selection_accuracy,0.875
result/behavior/tool/argument_validity_rate,0.875
result/behavior/tool/execution_success_rate,0.875
result/behavior/tool/final_answer_accuracy,0.875
result/behavior/tool/end_to_end_success_rate,0.875
result/behavior/tool/unfinished_rate,0.0
result/behavior/tool/invalid_tool_call_tag_count,0
result/actual_assistant_targets,0
result/mbpp_diagnostics/empty_extraction_count,336
result/mbpp_diagnostics/extracted_syntax_error_count,21
