metric,value
result/mbpp_pass_at_1_percent,0.0
result/mbpp_pass_count,0
result/mbpp_test_count,500
result/official_seven_percent/ceval-valid,23.105497771173848
result/official_seven_percent/cmmlu,25.23743740286652
result/official_seven_percent/arc_easy,34.553872053872055
result/official_seven_percent/piqa,56.36561479869423
result/official_seven_percent/openbookqa,25.6
result/official_seven_percent/hellaswag,28.231428002389965
result/official_seven_percent/social_iqa,34.2374616171955
result/official_macro_percent,32.47590166374173
result/ifeval_percent/prompt_level_strict_acc,17.929759704251385
result/ifeval_percent/inst_level_strict_acc,30.215827338129497
result/ifeval_percent/prompt_level_loose_acc,20.33271719038817
result/ifeval_percent/inst_level_loose_acc,32.49400479616307
result/behavior/seed,42
result/behavior/decoding/max_new_tokens,192
result/behavior/chat/cases,10
result/behavior/chat/success_count,7
result/behavior/chat/success_rate,0.7
result/behavior/chat/format_cases,6
result/behavior/chat/format_success_count,3
result/behavior/chat/format_success_rate,0.5
result/behavior/chat/refusal_anomaly_count,0
result/behavior/chat/repetition_anomaly_count,1
result/behavior/tool/cases,8
result/behavior/tool/tool_selection_accuracy,0.875
result/behavior/tool/argument_validity_rate,0.875
result/behavior/tool/execution_success_rate,0.875
result/behavior/tool/final_answer_accuracy,0.75
result/behavior/tool/end_to_end_success_rate,0.75
result/behavior/tool/unfinished_rate,0.125
result/behavior/tool/invalid_tool_call_tag_count,0
result/training/global_step,594
result/training/baseline_validation_loss,0.9745552012169754
result/training/best_validation_loss,0.7577329559380626
result/training/wall_seconds,94.64988684654236
result/training/peak_memory_mib,6936.5078125
result/training/total_parameters,63912192
result/training/trainable_parameters,63912192
result/training/trainable_ratio,1.0
result/training/gpu_hours,0.15774981141090394
result/training/overall_assistant_targets_per_second,50926.959984803056
result/training/training_seed,42
result/training/dataset_split_seed,20260907
result/actual_assistant_targets,4820231
result/mbpp_diagnostics/empty_extraction_count,424
result/mbpp_diagnostics/extracted_syntax_error_count,5
