metric,value
result/mbpp_pass_at_1_percent,0.0
result/mbpp_pass_count,0
result/mbpp_test_count,500
result/official_seven_percent/ceval-valid,23.328380386329865
result/official_seven_percent/cmmlu,25.28060783975134
result/official_seven_percent/arc_easy,34.217171717171716
result/official_seven_percent/piqa,56.474428726877036
result/official_seven_percent/openbookqa,26.0
result/official_seven_percent/hellaswag,28.31109340768771
result/official_seven_percent/social_iqa,35.107471852610026
result/official_macro_percent,32.674164847203954
result/ifeval_percent/prompt_level_strict_acc,19.038817005545287
result/ifeval_percent/inst_level_strict_acc,31.414868105515588
result/ifeval_percent/prompt_level_loose_acc,22.36598890942699
result/ifeval_percent/inst_level_loose_acc,34.2925659472422
result/behavior/seed,42
result/behavior/decoding/max_new_tokens,192
result/behavior/chat/cases,10
result/behavior/chat/success_count,8
result/behavior/chat/success_rate,0.8
result/behavior/chat/format_cases,6
result/behavior/chat/format_success_count,5
result/behavior/chat/format_success_rate,0.8333333333333334
result/behavior/chat/refusal_anomaly_count,0
result/behavior/chat/repetition_anomaly_count,1
result/behavior/tool/cases,8
result/behavior/tool/tool_selection_accuracy,0.875
result/behavior/tool/argument_validity_rate,0.75
result/behavior/tool/execution_success_rate,0.875
result/behavior/tool/final_answer_accuracy,0.75
result/behavior/tool/end_to_end_success_rate,0.75
result/behavior/tool/unfinished_rate,0.25
result/behavior/tool/invalid_tool_call_tag_count,0
result/training/global_step,594
result/training/baseline_validation_loss,0.9745552012169754
result/training/best_validation_loss,0.8376368255766593
result/training/wall_seconds,63.45794105529785
result/training/peak_memory_mib,4464.2412109375
result/training/total_parameters,64305408
result/training/trainable_parameters,393216
result/training/trainable_ratio,0.006114820078584993
result/training/gpu_hours,0.10576323509216308
result/training/overall_assistant_targets_per_second,75959.46102001017
result/training/training_seed,42
result/training/dataset_split_seed,20260907
result/actual_assistant_targets,4820231
result/mbpp_diagnostics/empty_extraction_count,394
result/mbpp_diagnostics/extracted_syntax_error_count,5
