event,step,loss,lr,grad_norm,chosen_targets,rejected_targets,peak_memory_mib,wall_seconds,dpo_loss,reward_margin,preference_credit
validation,0,,,,,,,,0.6931471824645996,0.0,0.5
train,1,2.0509200990200043,4e-08,2.058410406112671,10279,0,4432.802734375,10.86789083480835,,,
train,10,2.01522633433342,3.9963514982094624e-08,1.8109848499298096,106977,0,5183.5556640625,13.069523096084595,,,
train,20,1.8690433204174042,3.9837583810152556e-08,1.9722946882247925,220716,0,5240.43505859375,15.652769565582275,,,
train,30,1.9956059157848358,3.962238611229916e-08,1.8946354389190674,330289,0,5240.43505859375,18.17839527130127,,,
train,40,2.0730433762073517,3.931899882535929e-08,2.0160398483276367,430610,0,5245.15087890625,20.6868634223938,,,
train,50,1.839754432439804,3.8928940222738085e-08,1.902071475982666,536939,0,5245.15087890625,23.2776837348938,,,
train,60,2.189069390296936,3.8454162316363186e-08,2.1552231311798096,644415,0,5246.68994140625,25.873024940490723,,,
train,70,1.9917543530464172,3.789704108802297e-08,2.082232713699341,750873,0,5246.68994140625,28.458463430404663,,,
train,80,1.8964847922325134,3.72603645989871e-08,1.8974974155426025,859517,0,5246.68994140625,31.040952920913696,,,
train,90,2.1323465704917908,3.65473190374137e-08,1.9986741542816162,965388,0,5249.70751953125,33.60502648353577,,,
train,100,2.0524419248104095,3.5761472773367666e-08,2.1685397624969482,1069227,0,5249.70751953125,36.14004397392273,,,
validation,100,,,,,,,,0.7218210203368217,0.09782592362165451,0.538
train,110,2.161074548959732,3.49067585012452e-08,2.115130662918091,1174502,0,5249.70751953125,50.214081048965454,,,
train,120,1.9988006949424744,3.398745355897116e-08,1.9304907321929932,1282046,0,5249.70751953125,52.77075934410095,,,
train,130,2.167976826429367,3.3008158522460044e-08,2.234098434448242,1398455,0,5249.70751953125,55.33516192436218,,,
train,140,1.9717706739902496,3.197377418246257e-08,2.123352527618408,1508787,0,5249.70751953125,57.95701026916504,,,
train,150,2.1747801899909973,3.0889477019014986e-08,1.9807223081588745,1611499,0,5249.70751953125,60.448179960250854,,,
