event,step,loss,lr,grad_norm,chosen_targets,rejected_targets,peak_memory_mib,wall_seconds,dpo_loss,reward_margin,preference_credit
validation,0,,,,,,,,0.6931471824645996,0.0,0.5
train,1,0.6931471824645996,4e-08,52.883846282958984,10279,9244,8205.404296875,11.276877403259277,,,
train,10,0.6447873264551163,3.9963514982094624e-08,51.85683059692383,106977,92869,8943.2998046875,17.202369689941406,,,
train,20,0.6054508686065674,3.9837583810152556e-08,55.851829528808594,220716,201330,9052.48046875,24.171340703964233,,,
train,30,0.6223756372928619,3.962238611229916e-08,46.23161697387695,330289,299584,9052.48046875,30.961132287979126,,,
train,40,0.6225165277719498,3.931899882535929e-08,49.35295867919922,430610,392581,9071.2587890625,37.732213735580444,,,
train,50,0.6643610596656799,3.8928940222738085e-08,48.2596435546875,536939,493281,9071.2587890625,44.73924160003662,,,
train,60,0.5873942524194717,3.8454162316363186e-08,38.71995544433594,644415,590681,9071.2587890625,51.76510953903198,,,
train,70,0.5985067486763,3.789704108802297e-08,45.894100189208984,750873,685580,9071.2587890625,58.74396729469299,,,
train,80,0.639531135559082,3.72603645989871e-08,49.53298568725586,859517,785587,9071.2587890625,65.69921398162842,,,
train,90,0.6156675815582275,3.65473190374137e-08,46.46527862548828,965388,877968,9084.0205078125,72.60263180732727,,,
train,100,0.633833721280098,3.5761472773367666e-08,49.50402069091797,1069227,974774,9084.0205078125,79.4292004108429,,,
validation,100,,,,,,,,0.6201132139489055,0.2117409939719364,0.679
train,110,0.6101855635643005,3.49067585012452e-08,46.29095458984375,1174502,1069070,9084.0205078125,98.34471321105957,,,
train,120,0.6228155791759491,3.398745355897116e-08,52.628700256347656,1282046,1167963,9084.0205078125,105.22793984413147,,,
train,130,0.648948460817337,3.3008158522460044e-08,47.801883697509766,1398455,1267352,9084.0205078125,112.13140177726746,,,
train,140,0.6766258329153061,3.197377418246257e-08,49.27494812011719,1508787,1369328,9084.0205078125,119.21241235733032,,,
train,150,0.5821535587310791,3.0889477019014986e-08,45.07923889160156,1611499,1465993,9084.0205078125,125.91157412528992,,,
train,160,0.5934816151857376,2.976069329622721e-08,41.98094177246094,1711321,1557539,9084.0205078125,132.82338976860046,,,
