event,method,outer_step,optimizer_update,wall_seconds,completion_tokens,peak_memory_mib,loss,grad_norm,approx_kl,sampled_logratio_to_ref,entropy,clip_fraction,reward,group_reward_std,degenerate_group_rate,all_zero_group_rate,all_one_group_rate,pass_at_group,mean_completion_length,rollout_seconds
train,sft,10,20,2.4599095539888367,160,1244.09765625,1.3861887454986572,39.70095443725586,,,,,,,,,,,,
train,sft,20,40,2.978025010030251,320,1245.10791015625,2.7818479537963867,59.98335647583008,,,,,,,,,,,,
train,sft,30,60,3.498175574000925,480,1245.10791015625,1.4789303541183472,54.361507415771484,,,,,,,,,,,,
train,sft,40,80,4.002772704989184,640,1245.10791015625,0.6910145282745361,36.14310836791992,,,,,,,,,,,,
train,sft,50,100,4.513852478004992,800,1245.10791015625,1.4127918481826782,72.73731994628906,,,,,,,,,,,,
train,sft,60,120,5.01572024699999,960,1245.10791015625,0.3520015478134155,23.894775390625,,,,,,,,,,,,
train,sft,70,140,5.5443163919844665,1120,1245.10791015625,0.3208649754524231,16.690290451049805,,,,,,,,,,,,
train,sft,80,160,6.0623619760153815,1280,1245.10791015625,0.882489025592804,23.69497299194336,,,,,,,,,,,,
train,sft,90,180,6.5736511460272595,1440,1245.10791015625,0.602783739566803,20.97351837158203,,,,,,,,,,,,
train,sft,100,200,7.076706116029527,1600,1245.10791015625,0.4641109108924866,13.067585945129395,,,,,,,,,,,,
train,sft,110,220,7.587259716994595,1760,1245.10791015625,1.9469257593154907,54.97868728637695,,,,,,,,,,,,
train,sft,120,240,8.082395980018191,1920,1245.10791015625,0.5663427114486694,17.733016967773438,,,,,,,,,,,,
train,sft,130,260,8.57863681402523,2080,1245.10791015625,1.1167527437210083,28.075305938720703,,,,,,,,,,,,
train,sft,140,280,9.07162356498884,2240,1245.10791015625,0.18337023258209229,6.370492458343506,,,,,,,,,,,,
train,sft,150,300,9.563334248028696,2400,1245.10791015625,0.8247908353805542,20.011049270629883,,,,,,,,,,,,
train,sft,160,320,10.056277691037394,2560,1245.10791015625,0.4615870416164398,10.572676658630371,,,,,,,,,,,,
train,sft,170,340,10.54693114303518,2720,1245.10791015625,0.5368585586547852,18.851364135742188,,,,,,,,,,,,
train,sft,180,360,11.086247408995405,2880,1245.10791015625,0.3142223358154297,9.415213584899902,,,,,,,,,,,,
train,sft,190,380,11.631511708023027,3040,1245.10791015625,0.8256012201309204,14.962234497070312,,,,,,,,,,,,
train,sft,200,400,12.124182872008532,3200,1245.10791015625,0.8412222862243652,22.259531021118164,,,,,,,,,,,,
train,sft,210,420,12.617448812990915,3360,1245.10791015625,0.861152172088623,19.035381317138672,,,,,,,,,,,,
train,sft,220,440,13.109738575003576,3520,1245.10791015625,0.9081315994262695,23.004655838012695,,,,,,,,,,,,
train,sft,230,460,13.60494882502826,3680,1245.10791015625,0.4610821008682251,10.458008766174316,,,,,,,,,,,,
train,sft,240,480,14.099278528010473,3840,1245.10791015625,0.566716194152832,14.821977615356445,,,,,,,,,,,,
train,sft,250,500,14.592289594991598,4000,1245.10791015625,0.7638647556304932,20.631214141845703,,,,,,,,,,,,
completed,sft,,,15.339795536012389,4000,1245.10791015625,,,,,,,,,,,,,,
