event,method,outer_step,optimizer_update,wall_seconds,completion_tokens,peak_memory_mib,loss,grad_norm,approx_kl,sampled_logratio_to_ref,entropy,clip_fraction,reward,group_reward_std,degenerate_group_rate,all_zero_group_rate,all_one_group_rate,pass_at_group,mean_completion_length,rollout_seconds
train,cispo,10,20,2.082034755963832,3348,3240.232421875,-0.051828533411026,9.909780502319336,0.18078124523162842,0.36534640192985535,0.33842429518699646,0.0,0.9375,0.15809345245361328,0.5,0.0,0.5,1.0,5.328125,0.06254120101220906
train,cispo,20,40,3.7055285740061663,6349,3240.232421875,0.0022394240368157625,0.09022165834903717,0.11577041447162628,0.28940606117248535,0.32238876819610596,0.0,0.75,0.0,1.0,0.25,0.75,0.75,4.75,0.05927599698770791
train,cispo,30,60,5.415022297995165,9473,3240.232421875,0.005349787417799234,0.06775249540805817,0.2785815894603729,0.4748561978340149,0.5067482590675354,0.0,0.75,0.0,1.0,0.25,0.75,0.75,4.78125,0.07355941302375868
train,cispo,40,80,7.168373149994295,12561,3251.1796875,0.009996006265282631,0.03635883331298828,0.4934757947921753,0.8103092908859253,0.16830821335315704,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.796875,0.07241631898796186
train,cispo,50,100,8.853551278007217,15647,3325.01904296875,-0.012582972645759583,2.155555248260498,0.4377296566963196,0.5432767868041992,0.40821948647499084,0.0,0.984375,0.06051536649465561,0.75,0.0,0.75,1.0,5.1875,0.07356432196684182
train,cispo,60,120,10.470175997004844,18642,3325.01904296875,0.009579211473464966,0.004020702559500933,0.4865453541278839,0.8411344885826111,0.04900247976183891,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.5,0.05534644197905436
train,cispo,70,140,12.078498523973394,21679,3325.01904296875,0.00910499319434166,0.0926838219165802,0.46197760105133057,0.7248124480247498,0.11567185819149017,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.75,0.05688500602263957
train,cispo,80,160,13.684322840999812,24683,3325.01904296875,0.0085561852902174,0.19998782873153687,0.42725446820259094,0.7118412256240845,0.2070789635181427,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.640625,0.05631405400345102
train,cispo,90,180,15.270172200980596,27727,3325.01904296875,0.0067772273905575275,0.10146339982748032,0.3364708125591278,0.595931351184845,0.26923635601997375,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.734375,0.05689448298653588
train,cispo,100,200,16.879209523962345,30684,3325.01904296875,0.005297787021845579,0.06209225952625275,0.26255959272384644,0.5240930914878845,0.21253520250320435,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.90625,0.05671211803564802
train,cispo,110,220,18.4661097759963,33672,3325.01904296875,0.01025763526558876,0.1117723137140274,0.5314866900444031,0.8157791495323181,0.27036193013191223,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.359375,0.056197725993115455
train,cispo,120,240,20.056692154961638,36628,3325.01904296875,0.007389004807919264,0.12619781494140625,0.358081579208374,0.6251794695854187,0.30375441908836365,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.75,0.0578200850286521
train,cispo,130,260,21.677311928011477,39676,3325.01904296875,-0.020601699128746986,2.3325483798980713,0.4358943700790405,0.5942288637161255,0.3523191213607788,0.0,0.9375,0.10825317353010178,0.75,0.0,0.75,1.0,4.5,0.07183816999895498
train,cispo,140,280,23.268890898965765,42663,3325.01904296875,0.009515550918877125,0.058345817029476166,0.45302140712738037,0.7723419070243835,0.1569778025150299,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.5,0.056814257986843586
train,cispo,150,300,24.849746239953674,45546,3325.01904296875,0.005943102762103081,0.04161819815635681,0.280337393283844,0.5132836699485779,0.21822895109653473,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.265625,0.05608294700505212
train,cispo,160,320,26.426892143965233,48540,3325.01904296875,0.007504213135689497,0.1419285535812378,0.37169140577316284,0.5676190257072449,0.3867243230342865,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.9375,0.05493206001119688
train,cispo,170,340,28.01863034698181,51419,3325.01904296875,0.007175959646701813,0.047225452959537506,0.35669028759002686,0.6136383414268494,0.2931123375892639,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.234375,0.0556792650022544
train,cispo,180,360,29.605696676007938,54318,3325.01904296875,0.00546566117554903,0.05774347111582756,0.2628633677959442,0.5046443343162537,0.29242923855781555,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.5,0.057133853959385306
train,cispo,190,380,31.178880396997556,57322,3325.01904296875,0.01121707633137703,0.028313593938946724,0.5627039074897766,0.8204044103622437,0.21245786547660828,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.5,0.05561950401170179
train,cispo,200,400,32.80131939495914,60407,3325.01904296875,0.008156707510352135,0.058957792818546295,0.40593019127845764,0.7219690084457397,0.2599453032016754,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.921875,0.057439721014816314
train,cispo,210,420,34.380493854987435,63360,3325.01904296875,0.009449897333979607,0.07183880358934402,0.4470682740211487,0.7381296753883362,0.25918683409690857,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.515625,0.06201659300131723
train,cispo,220,440,35.9894973479677,66364,3325.01904296875,0.005545611493289471,0.0861765593290329,0.2886490225791931,0.5902459025382996,0.3144020736217499,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.734375,0.05799127201316878
train,cispo,230,460,37.607577515998855,69304,3325.01904296875,0.007734081242233515,0.04380441829562187,0.37193867564201355,0.6380292773246765,0.37152358889579773,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.421875,0.07217791001312435
train,cispo,240,480,39.365356913011055,72365,3325.01904296875,0.005708635319024324,0.04308519512414932,0.28230392932891846,0.5036546587944031,0.28853440284729004,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.90625,0.055894853023346514
train,cispo,250,500,41.01539173000492,75362,3325.01904296875,0.007692004553973675,0.02537928894162178,0.3791868984699249,0.6154710650444031,0.3641895353794098,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.375,0.05696536798495799
completed,cispo,,,42.20250754797598,75362,3325.01904296875,,,,,,,,,,,,,,
