event,method,outer_step,optimizer_update,wall_seconds,completion_tokens,peak_memory_mib,loss,grad_norm,approx_kl,sampled_logratio_to_ref,entropy,clip_fraction,reward,group_reward_std,degenerate_group_rate,all_zero_group_rate,all_one_group_rate,pass_at_group,mean_completion_length,rollout_seconds
train,sft,10,20,2.4446406009956263,160,1245.10791015625,2.2453505992889404,58.974178314208984,,,,,,,,,,,,
train,sft,20,40,2.938181852980051,320,1245.10791015625,1.3264436721801758,48.508846282958984,,,,,,,,,,,,
train,sft,30,60,3.430268485972192,480,1245.10791015625,3.3752801418304443,58.98188400268555,,,,,,,,,,,,
train,sft,40,80,3.922066212981008,640,1245.10791015625,3.278175115585327,53.86272430419922,,,,,,,,,,,,
train,sft,50,100,4.413411027984694,800,1245.10791015625,1.534873366355896,24.59725570678711,,,,,,,,,,,,
train,sft,60,120,4.904036054969765,960,1245.10791015625,1.4519518613815308,22.85203742980957,,,,,,,,,,,,
train,sft,70,140,5.395825501997024,1120,1245.10791015625,1.303807020187378,23.30451774597168,,,,,,,,,,,,
train,sft,80,160,5.896861076995265,1280,1245.10791015625,1.431894302368164,43.5340461730957,,,,,,,,,,,,
train,sft,90,180,6.3911542919813655,1440,1245.10791015625,1.422231674194336,17.440214157104492,,,,,,,,,,,,
train,sft,100,200,6.88581206795061,1600,1245.10791015625,1.110054850578308,12.291330337524414,,,,,,,,,,,,
train,sft,110,220,7.375402356963605,1760,1245.10791015625,1.554477334022522,16.93495750427246,,,,,,,,,,,,
train,sft,120,240,7.867382631986402,1920,1245.10791015625,1.8295526504516602,27.094688415527344,,,,,,,,,,,,
train,sft,130,260,8.359636049950495,2080,1245.10791015625,1.3041577339172363,15.32140064239502,,,,,,,,,,,,
train,sft,140,280,8.850974934000988,2240,1245.10791015625,1.4334087371826172,21.334524154663086,,,,,,,,,,,,
train,sft,150,300,9.407128629973158,2400,1245.10791015625,1.4710273742675781,17.43254280090332,,,,,,,,,,,,
train,sft,160,320,9.901603221951518,2560,1245.10791015625,1.1114455461502075,12.859085083007812,,,,,,,,,,,,
train,sft,170,340,10.420082617958542,2720,1245.10791015625,1.7615717649459839,31.775253295898438,,,,,,,,,,,,
train,sft,180,360,10.916176871978678,2880,1245.10791015625,1.1907851696014404,10.249210357666016,,,,,,,,,,,,
train,sft,190,380,11.420122531999368,3040,1245.10791015625,1.6776589155197144,29.913928985595703,,,,,,,,,,,,
train,sft,200,400,11.92552299395902,3200,1245.10791015625,1.499805212020874,19.717763900756836,,,,,,,,,,,,
train,sft,210,420,12.461675968952477,3360,1245.10791015625,1.6144124269485474,19.88391876220703,,,,,,,,,,,,
train,sft,220,440,13.001853427966125,3520,1245.10791015625,1.3588147163391113,12.779269218444824,,,,,,,,,,,,
train,sft,230,460,13.52558966196375,3680,1245.10791015625,1.2933275699615479,12.467789649963379,,,,,,,,,,,,
train,sft,240,480,14.01157301600324,3840,1245.10791015625,1.4805834293365479,19.301429748535156,,,,,,,,,,,,
train,sft,250,500,14.497341980983038,4000,1245.10791015625,1.1698541641235352,14.129743576049805,,,,,,,,,,,,
completed,sft,,,15.158144844986964,4000,1245.10791015625,,,,,,,,,,,,,,
