event,method,outer_step,optimizer_update,wall_seconds,completion_tokens,peak_memory_mib,loss,grad_norm,approx_kl,sampled_logratio_to_ref,entropy,clip_fraction,reward,group_reward_std,degenerate_group_rate,all_zero_group_rate,all_one_group_rate,pass_at_group,mean_completion_length,rollout_seconds
train,cispo,10,20,2.1833110220031813,3705,3255.8046875,0.004633767530322075,0.11436400562524796,0.21116231381893158,0.43422558903694153,0.4621434211730957,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.046875,0.06951424200087786
train,cispo,20,40,3.8842621609801427,7182,3255.8046875,-0.027478069067001343,6.311435222625732,0.07707566022872925,0.174085795879364,0.6002403497695923,0.0,0.234375,0.20583125948905945,0.5,0.5,0.0,0.5,4.8125,0.07011385401710868
train,cispo,30,60,5.634255937009584,10613,3255.8046875,-0.002824043855071068,1.5515295267105103,0.07295295596122742,0.17339719831943512,0.8540768623352051,0.0,0.234375,0.06051536649465561,0.75,0.75,0.0,0.25,5.1875,0.06992751202778891
train,cispo,40,80,7.3962744969758205,13910,3255.8046875,0.012638558633625507,3.1257481575012207,0.07653247565031052,0.14561167359352112,0.5607489347457886,0.0,0.046875,0.09757809340953827,0.75,0.75,0.0,0.25,5.203125,0.07137086300645024
train,cispo,50,100,9.092690109973773,17263,3255.8046875,-0.006077438592910767,4.179482460021973,0.1732919067144394,0.2914023995399475,0.7207685112953186,0.0,0.328125,0.23227277398109436,0.5,0.5,0.0,0.5,4.578125,0.058214541990309954
train,cispo,60,120,10.80598085798556,20664,3255.8046875,-0.006459701806306839,3.285254716873169,0.10704522579908371,0.2030099332332611,0.8355837464332581,0.0,0.1875,0.10825317353010178,0.75,0.75,0.0,0.25,5.09375,0.06824056297773495
train,cispo,70,140,12.549519127001986,24308,3255.8046875,0.0033251838758587837,0.0693925991654396,0.15612144768238068,0.31903111934661865,0.4279729127883911,0.0,0.25,0.0,1.0,0.75,0.25,0.25,5.65625,0.06979247799608856
train,cispo,80,160,14.258969760965556,27779,3255.8046875,0.008950050920248032,0.029059097170829773,0.40321990847587585,0.6967535018920898,0.514711320400238,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.703125,0.06866842502495274
train,cispo,90,180,15.95219341799384,31207,3255.8046875,0.004365174099802971,0.06658046692609787,0.1969771385192871,0.36617690324783325,0.5404255986213684,0.0,0.25,0.0,1.0,0.75,0.25,0.25,5.484375,0.0683608700055629
train,cispo,100,200,17.653072051005438,34706,3311.76025390625,0.003819884266704321,0.057547420263290405,0.18945710361003876,0.3665572702884674,0.6097420454025269,0.0,0.25,0.0,1.0,0.75,0.25,0.25,5.6875,0.06820453598629683
train,cispo,110,220,19.39258238399634,38106,3311.76025390625,0.00475233793258667,0.10575761646032333,0.2087644636631012,0.38696032762527466,0.6636576652526855,0.0,0.25,0.0,1.0,0.75,0.25,0.25,5.046875,0.06735434202710167
train,cispo,120,240,21.026656584988814,41343,3311.76025390625,0.005846414715051651,0.0923980101943016,0.2683074474334717,0.4344179928302765,0.7001521587371826,0.0,0.25,0.0,1.0,0.75,0.25,0.25,5.3125,0.06790235894732177
train,cispo,130,260,22.69229134597117,44582,3311.76025390625,0.03189723938703537,2.6009390354156494,0.3539053499698639,0.5852462649345398,0.7619829773902893,0.0,0.265625,0.06051536649465561,0.75,0.5,0.25,0.5,4.328125,0.06634733197279274
